plot_id,experiment,block,treatment,12-T,UTM,logger,P1,P2,P3,P4,P5
1,precipitation,1,irrigation,406075,4899294,EL5742,air_temp,m5,m5,m25,m25
2,precipitation,1,shelter,406075,4899294,EL5740,air_temp,m5,m5,m25,m25
3,NA,2,NA,406018,4899197,,,,,,
4,NA,2,NA,406018,4899197,,,,,,
5,precipitation,3,shelter,406027,4899337,,,,,,
6,precipitation,3,irrigation,406027,4899337,,,,,,
7,precipitation,4,irrigation,406003,4899243,EM6843,air_temp,m5,m5,m25,NA
8,precipitation,4,shelter,406003,4899243,EM20068,air_temp,m5,m5,NA,m25
9,NA,5,NA,406084,4899250,,,,,,
10,NA,5,NA,406084,4899250,,,,,,
11,precipitation,6,shelter,406071,4899273,EM20069,air_temp,m5,m5,NA,m25
12,precipitation,6,irrigation,406071,4899273,EM20086,air_temp,m5,m5,m25,NA
13,precipitation,7,shelter,406095,4899317,,,,,,
14,precipitation,7,irrigation,406095,4899317,,,,,,
15,precipitation,8,shelter,406020,4899160,EL5741,air_temp,m5,m5,m25,m25
16,precipitation,8,irrigation,406020,4899160,EL5743,air_temp,m5,m5,m25,m25
17,precipitation,9,shelter,406042,4899234,,,,,,
18,precipitation,9,irrigation,406042,4899234,,,,,,
19,precipitation,10,irrigation,406046,4899276,,,,,,
20,precipitation,10,shelter,406046,4899276,,,,,,
1_2_C,precipitation,1,control ,406075,4899294,EL5739,air_temp,m5,m5,m25,m25
15_16_C,precipitation,8,control ,406020,4899160,EM20067,air_temp,m5,m5,m25,m25
7_8_C,precipitation,4,control ,,,EM20085,air_temp,m5,m5,m25,NA
11_12_C,precipitation,6,control ,,,EM20070,air_temp,m5,m5,NA,m25
