logger,plot,date_started,date_uploaded,serial_number
1,1,2013-11-09,2014-04-13,EL5742
2,2,2013-11-09,2014-04-13,EL5740
1_2_C,1_2_C,2013-11-09,2014-04-13,EL5739
EM6843,7,2013-11-09,2014-04-13,EM6843
8,8,2013-11-09,2014-04-13,EM20068
7_8_C,7_8_C,2013-11-09,2014-04-13,EM20085
11,11,2013-11-09,2014-04-13,EM20069
12,12,2013-11-09,2014-04-13,EM20086
11_12_C,11_12_C,2013-11-09,2014-04-13,EM20070
15,15,2013-11-09,2014-04-13,EL5741
16,16,2013-11-09,2014-04-13,EL5743
15_16_C,15_16_C,2013-11-09,2014-04-13,EM20067
